Time and Date, temperature (ºC), temperature (ºF), humidity (%), pressure (hPa)
14:17:28 23/05/2025, 23.13, 73.63, 58.69, 1000.36
14:17:38 23/05/2025, 23.08, 73.55, 57.41, 1000.29
14:17:48 23/05/2025, 23.03, 73.45, 53.72, 1000.31
14:17:58 23/05/2025, 22.97, 73.35, 59.80, 1000.33
14:18:08 23/05/2025, 22.92, 73.26, 53.77, 1000.28
14:18:18 23/05/2025, 22.87, 73.16, 55.33, 1000.33
14:18:28 23/05/2025, 22.81, 73.06, 52.90, 1000.30
14:18:38 23/05/2025, 22.77, 72.99, 52.71, 1000.29
14:18:48 23/05/2025, 22.72, 72.90, 53.75, 1000.29
14:18:58 23/05/2025, 22.70, 72.87, 56.64, 1000.32
14:19:08 23/05/2025, 22.65, 72.77, 57.38, 1000.32
14:19:18 23/05/2025, 22.63, 72.73, 53.08, 1000.34
14:51:01 23/05/2025, 22.51, 72.52, 48.97, 1000.37
14:51:11 23/05/2025, 22.52, 72.54, 48.96, 1000.33
14:51:21 23/05/2025, 22.53, 72.55, 48.92, 1000.31
14:51:31 23/05/2025, 22.54, 72.57, 48.84, 1000.33
14:51:41 23/05/2025, 22.54, 72.57, 48.84, 1000.36
14:51:51 23/05/2025, 22.55, 72.58, 48.88, 1000.37
14:52:01 23/05/2025, 22.56, 72.60, 48.82, 1000.39
14:52:11 23/05/2025, 22.54, 72.57, 48.89, 1000.34
14:52:21 23/05/2025, 22.56, 72.60, 48.86, 1000.39
14:52:31 23/05/2025, 22.56, 72.60, 49.04, 1000.36
14:52:41 23/05/2025, 22.56, 72.60, 49.00, 1000.36
14:52:51 23/05/2025, 22.56, 72.61, 49.15, 1000.37
14:53:01 23/05/2025, 22.56, 72.61, 49.14, 1000.45
14:53:11 23/05/2025, 22.57, 72.63, 49.12, 1000.41
14:53:21 23/05/2025, 22.56, 72.61, 49.09, 1000.34
14:53:31 23/05/2025, 22.56, 72.61, 49.09, 1000.37
14:53:41 23/05/2025, 22.57, 72.63, 49.11, 1000.38
14:53:51 23/05/2025, 22.57, 72.63, 49.11, 1000.41
14:54:01 23/05/2025, 22.57, 72.62, 49.12, 1000.35
14:54:11 23/05/2025, 22.56, 72.61, 49.13, 1000.37
14:54:21 23/05/2025, 22.56, 72.61, 49.18, 1000.40
14:54:31 23/05/2025, 22.55, 72.59, 49.18, 1000.38
14:54:41 23/05/2025, 22.55, 72.59, 49.19, 1000.38
16:56:34 30/05/2025, 20.21, 68.38, 54.18, 991.31
16:56:44 30/05/2025, 20.19, 68.35, 54.23, 991.33
16:56:54 30/05/2025, 20.19, 68.35, 55.55, 991.36
16:57:04 30/05/2025, 20.19, 68.35, 54.79, 991.30
